Conversation ID,Profile,Duration (s),Status,Questions
chat_20251016_182910_batch_324,ppd_high,50.50,completed,10
chat_20251016_183000_batch_325,ppd_possible,53.78,completed,10
chat_20251016_183054_batch_326,ppd_low,49.24,completed,10
chat_20251016_183143_batch_327,ppd_low,50.94,completed,10
chat_20251016_183234_batch_328,ppd_probable,54.40,completed,10
chat_20251016_183329_batch_329,ppd_high,46.88,completed,10
chat_20251016_183415_batch_330,ppd_possible,54.58,completed,10
chat_20251016_183510_batch_331,ppd_urgent,55.56,completed,10
chat_20251016_183606_batch_332,ppd_probable,55.45,completed,10
chat_20251016_183701_batch_333,ppd_high,54.10,completed,10
chat_20251016_183755_batch_334,ppd_possible,54.52,completed,10
chat_20251016_183850_batch_335,ppd_high,57.04,completed,10
chat_20251016_183947_batch_336,ppd_urgent,55.71,completed,10
chat_20251016_184043_batch_337,ppd_urgent,55.27,completed,10
chat_20251016_184138_batch_338,ppd_urgent,57.06,completed,10
chat_20251016_184235_batch_339,ppd_urgent,55.49,completed,10
chat_20251016_184330_batch_340,ppd_high,53.97,completed,10
chat_20251016_184424_batch_341,ppd_urgent,56.25,completed,10
chat_20251016_184521_batch_342,ppd_high,53.45,completed,10
chat_20251016_184614_batch_343,ppd_probable,60.10,completed,10
chat_20251016_184714_batch_344,ppd_low,52.66,completed,10
chat_20251016_184807_batch_345,ppd_probable,56.03,completed,10
chat_20251016_184903_batch_346,ppd_high,54.63,completed,10
chat_20251016_184958_batch_347,ppd_probable,52.66,completed,10
chat_20251016_185050_batch_348,ppd_high,51.40,completed,10
chat_20251016_185142_batch_349,ppd_urgent,52.66,completed,10
chat_20251016_185235_batch_350,ppd_low,49.54,completed,10
chat_20251016_185324_batch_351,ppd_urgent,51.30,completed,10
chat_20251016_185415_batch_352,ppd_possible,52.61,completed,10
chat_20251016_185508_batch_353,ppd_possible,52.60,completed,10
chat_20251016_185601_batch_354,ppd_possible,51.30,completed,10
chat_20251016_185652_batch_355,ppd_possible,54.84,completed,10
chat_20251016_185747_batch_356,ppd_probable,56.13,completed,10
chat_20251016_185843_batch_357,ppd_probable,55.52,completed,10
chat_20251016_185939_batch_358,ppd_high,55.74,completed,10
chat_20251016_190034_batch_359,ppd_low,52.96,completed,10
chat_20251016_190127_batch_360,ppd_possible,57.27,completed,10
chat_20251016_190225_batch_361,ppd_high,52.90,completed,10
chat_20251016_190318_batch_362,ppd_low,54.44,completed,10
chat_20251016_190412_batch_363,ppd_high,52.89,completed,10
chat_20251016_190505_batch_364,ppd_possible,53.52,completed,10
chat_20251016_190558_batch_365,ppd_low,51.84,completed,10
chat_20251016_190650_batch_366,ppd_probable,55.37,completed,10
chat_20251016_190746_batch_367,ppd_high,54.73,completed,10
chat_20251016_190840_batch_368,ppd_possible,55.45,completed,10
chat_20251016_190936_batch_369,ppd_possible,54.19,completed,10
chat_20251016_191030_batch_370,ppd_probable,55.67,completed,10
chat_20251016_191126_batch_371,ppd_urgent,56.82,completed,10
chat_20251016_191223_batch_372,ppd_urgent,60.22,completed,10
chat_20251016_191323_batch_373,ppd_high,48.90,completed,10
chat_20251016_191412_batch_374,ppd_low,49.57,completed,10
chat_20251016_191501_batch_375,ppd_possible,55.09,completed,10
chat_20251016_191557_batch_376,ppd_possible,52.26,completed,10
chat_20251016_191649_batch_377,ppd_possible,50.81,completed,10
chat_20251016_191740_batch_378,ppd_possible,50.93,completed,10
chat_20251016_191831_batch_379,ppd_high,47.94,completed,10
chat_20251016_191919_batch_380,ppd_probable,52.17,completed,10
chat_20251016_192011_batch_381,ppd_high,50.90,completed,10
chat_20251016_192102_batch_382,ppd_low,52.08,completed,10
chat_20251016_192154_batch_383,ppd_possible,54.14,completed,10
chat_20251016_192248_batch_384,ppd_high,51.31,completed,10
chat_20251016_192339_batch_385,ppd_possible,50.91,completed,10
chat_20251016_192430_batch_386,ppd_high,49.04,completed,10
chat_20251016_192519_batch_387,ppd_urgent,51.42,completed,10
chat_20251016_192611_batch_388,ppd_probable,52.72,completed,10
chat_20251016_192704_batch_389,ppd_high,52.75,completed,10
chat_20251016_192756_batch_390,ppd_probable,54.91,completed,10
chat_20251016_192851_batch_391,ppd_probable,53.66,completed,10
chat_20251016_192945_batch_392,ppd_low,49.81,completed,10
chat_20251016_193035_batch_393,ppd_probable,58.63,completed,10
chat_20251016_193133_batch_394,ppd_high,49.99,completed,10
chat_20251016_193223_batch_395,ppd_probable,50.52,completed,10
chat_20251016_193314_batch_396,ppd_high,54.78,completed,10
chat_20251016_193409_batch_397,ppd_possible,52.62,completed,10
chat_20251016_193501_batch_398,ppd_probable,51.94,completed,10
chat_20251016_193553_batch_399,ppd_probable,51.75,completed,10
chat_20251016_193645_batch_400,ppd_probable,50.92,completed,10
chat_20251016_193736_batch_401,ppd_probable,51.90,completed,10
chat_20251016_193828_batch_402,ppd_possible,50.45,completed,10
chat_20251016_193918_batch_403,ppd_probable,55.04,completed,10
chat_20251016_194014_batch_404,ppd_possible,57.38,completed,10
chat_20251016_194111_batch_405,ppd_probable,54.53,completed,10
chat_20251016_194205_batch_406,ppd_possible,60.18,completed,10
chat_20251016_194306_batch_407,ppd_high,55.43,completed,10
chat_20251016_194401_batch_408,ppd_low,53.62,completed,10
chat_20251016_194455_batch_409,ppd_low,51.70,completed,10
chat_20251016_194547_batch_410,ppd_low,52.11,completed,10
chat_20251016_194639_batch_411,ppd_possible,50.64,completed,10
chat_20251016_194729_batch_412,ppd_high,50.42,completed,10
chat_20251016_194820_batch_413,ppd_probable,53.09,completed,10
chat_20251016_194913_batch_414,ppd_probable,52.93,completed,10
chat_20251016_195006_batch_415,ppd_high,50.22,completed,10
chat_20251016_195056_batch_416,ppd_possible,51.17,completed,10
chat_20251016_195147_batch_417,ppd_urgent,53.98,completed,10
chat_20251016_195241_batch_418,ppd_possible,50.31,completed,10
chat_20251016_195332_batch_419,ppd_low,48.15,completed,10
chat_20251016_195420_batch_420,ppd_possible,49.65,completed,10
chat_20251016_195509_batch_421,ppd_high,51.61,completed,10
chat_20251016_195601_batch_422,ppd_urgent,54.35,completed,10
chat_20251016_195656_batch_423,ppd_possible,53.06,completed,10
chat_20251016_195749_batch_424,ppd_high,49.55,completed,10
chat_20251016_195838_batch_425,ppd_low,49.34,completed,10
chat_20251016_195928_batch_426,ppd_probable,50.82,completed,10
chat_20251016_200018_batch_427,ppd_probable,55.72,completed,10
chat_20251016_200114_batch_428,ppd_possible,51.39,completed,10
chat_20251016_200206_batch_429,ppd_low,49.68,completed,10
chat_20251016_200255_batch_430,ppd_urgent,53.11,completed,10
chat_20251016_200348_batch_431,ppd_probable,58.07,completed,10
chat_20251016_200446_batch_432,ppd_possible,50.87,completed,10
chat_20251016_200537_batch_433,ppd_possible,61.64,completed,10
chat_20251016_200639_batch_434,ppd_low,48.55,completed,10
chat_20251016_200728_batch_435,ppd_probable,54.00,completed,10
chat_20251016_200822_batch_436,ppd_high,49.96,completed,10
chat_20251016_200912_batch_437,ppd_possible,54.17,completed,10
chat_20251016_201006_batch_438,ppd_high,50.99,completed,10
chat_20251016_201057_batch_439,ppd_low,47.58,completed,10
chat_20251016_201144_batch_440,ppd_probable,49.16,completed,10
chat_20251016_201234_batch_441,ppd_probable,51.14,completed,10
chat_20251016_201325_batch_442,ppd_low,47.71,completed,10
chat_20251016_201412_batch_443,ppd_high,49.85,completed,10
chat_20251016_201502_batch_444,ppd_possible,49.52,completed,10
chat_20251016_201552_batch_445,ppd_urgent,54.84,completed,10
chat_20251016_201647_batch_446,ppd_probable,52.89,completed,10
chat_20251016_201740_batch_447,ppd_high,54.59,completed,10
chat_20251016_201834_batch_448,ppd_possible,50.83,completed,10
chat_20251016_201925_batch_449,ppd_high,55.64,completed,10
chat_20251016_202021_batch_450,ppd_high,51.68,completed,10
chat_20251016_202113_batch_451,ppd_low,50.70,completed,10
